행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,
은평구,외식업/,66,58,3.1,2.7,43,50,2,2.3,81,97,3.8,4.6,은평구,외식업/,9,5,5.7,3.2,10,8,6.2,4.9,8,12,5.1,7.7,은평구,외식업/,10,3,6.1,1.8,11,3,5.8,1.6,8,9,4.1,4.7,은평구,외식업/,11,4,7.6,2.8,3,7,1.8,4.2,9,5,5.3,2.9,은평구,외식업/,8,5,4,2.5,7,5,3.3,2.4,13,12,5.9,5.5,은평구,외식업/,11,3,5.6,1.5,4,4,1.9,1.9,7,12,3.4,5.8,은평구,외식업/,24,12,8.5,4.2,15,7,5.6,2.6,11,15,4.5,6.2,은평구,외식업/,20,9,3.8,1.7,22,11,4.2,2.1,25,26,4.8,5,은평구,외식업/,4,15,1,3.8,6,11,1.7,3.1,13,15,3.8,4.3,은평구,외식업/,39,24,6.9,4.2,37,23,5.9,3.6,36,34,5.4,5.1
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
서대문구,외식업/,64,37,3.5,2,33,27,1.8,1.5,41,61,2.3,3.5,서대문구,외식업/,9,11,5.3,6.4,7,8,4,4.5,10,6,5.3,3.2,서대문구,외식업/,9,7,4.9,3.8,3,5,1.5,2.5,12,7,5.8,3.4,서대문구,외식업/,8,7,3.3,2.9,5,2,1.9,0.7,13,11,4.9,4.2,서대문구,외식업/,5,6,2.9,3.4,5,4,2.7,2.1,6,8,3,4,서대문구,외식업/,5,4,2.3,1.8,5,5,2.1,2.1,6,8,2.7,3.6,서대문구,외식업/,7,14,3.5,7.1,10,6,5.2,3.1,12,14,6.4,7.5,서대문구,외식업/,17,11,3.4,2.2,15,12,3,2.4,27,12,4.8,2.1,서대문구,외식업/,4,16,1.2,4.7,1,12,0.4,4.2,9,8,3.2,2.9,서대문구,외식업/,24,18,4.3,3.2,28,13,4.6,2.2,45,37,6.7,5.5
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
마포구,외식업/,141,86,4.1,2.5,80,116,2.3,3.3,102,141,3,4.2,마포구,외식업/,18,16,5.8,5.1,14,11,4.4,3.5,13,14,4,4.3,마포구,외식업/,26,15,4.5,2.6,18,12,2.8,1.9,34,18,4.9,2.6,마포구,외식업/,33,26,3.9,3.1,18,15,1.9,1.6,34,45,3.6,4.8,마포구,외식업/,14,16,3.7,4.2,14,11,3.5,2.7,13,15,3.1,3.6,마포구,외식업/,21,7,5.9,2,13,7,3.3,1.8,14,19,3.7,5.1,마포구,외식업/,11,12,4.2,4.6,5,11,1.9,4.2,12,15,5,6.2,마포구,외식업/,30,23,4.1,3.1,58,28,7.6,3.7,51,40,5.9,4.6,마포구,외식업/,14,38,1.8,4.9,6,19,0.9,2.8,14,24,2.3,3.9,마포구,외식업/,76,57,4.7,3.5,92,55,5.1,3.1,122,96,6.1,4.8
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
양천구,외식업/,64,25,3.7,1.4,40,42,2.2,2.4,61,65,3.6,3.8,양천구,외식업/,3,3,2.5,2.5,4,4,3,3,11,10,7.6,6.9,양천구,외식업/,3,6,1.9,3.9,4,4,2.4,2.4,7,4,3.8,2.2,양천구,외식업/,7,5,4.8,3.4,7,7,4.3,4.3,4,7,2.5,4.4,양천구,외식업/,13,8,6.5,4,5,7,2.4,3.3,6,11,2.9,5.4,양천구,외식업/,6,4,3.1,2.1,3,5,1.5,2.5,9,12,4.8,6.4,양천구,외식업/,12,9,4.9,3.7,10,11,4.3,4.7,7,8,3.2,3.6,양천구,외식업/,14,19,3.2,4.3,18,15,4.2,3.5,25,13,5.7,3,양천구,외식업/,7,14,2,4,2,5,0.6,1.6,13,15,4.4,5.1,양천구,외식업/,29,20,6.1,4.2,33,17,6.2,3.2,31,22,5.4,3.8
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
강서구,외식업/,127,103,4.2,3.4,96,103,3.1,3.3,124,126,4,4.1,강서구,외식업/,14,2,6.2,0.9,8,6,3.2,2.4,12,7,4.7,2.7,강서구,외식업/,27,9,8.5,2.8,20,8,5.4,2.2,17,20,4.6,5.4,강서구,외식업/,17,10,7.1,4.1,15,10,5.3,3.5,17,20,5.8,6.8,강서구,외식업/,14,10,5.1,3.6,6,4,2,1.3,11,10,3.6,3.3,강서구,외식업/,26,12,9.5,4.4,12,4,3.8,1.3,8,11,2.6,3.6,강서구,외식업/,18,6,5.1,1.7,14,16,4.1,4.7,17,21,5.3,6.5,강서구,외식업/,41,31,6.3,4.8,48,32,7.2,4.8,44,39,6.1,5.4,강서구,외식업/,8,21,1.4,3.6,9,15,1.8,2.9,10,18,2.1,3.8,강서구,외식업/,53,38,6,4.3,55,40,5.6,4,63,66,6,6.3
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
구로구,외식업/,43,17,1.9,0.8,47,35,2,1.5,61,72,2.8,3.3,구로구,외식업/,5,8,1.4,2.3,12,7,3.3,1.9,17,7,4.4,1.8,구로구,외식업/,6,3,3.6,1.8,4,7,2.3,4,5,4,2.8,2.2,구로구,외식업/,5,2,3.9,1.6,3,3,2.1,2.1,6,7,4,4.6,구로구,외식업/,7,11,4.5,7.1,6,3,3.6,1.8,6,7,3.6,4.2,구로구,외식업/,5,12,2.8,6.7,9,1,4.5,0.5,3,9,1.5,4.6,구로구,외식업/,11,7,4.1,2.6,9,10,3.3,3.6,7,17,2.8,6.7,구로구,외식업/,21,17,4.6,3.7,22,12,4.8,2.6,18,17,3.8,3.5,구로구,외식업/,9,16,2.1,3.7,6,16,1.5,4.1,9,16,2.3,4.1,구로구,외식업/,22,9,4.3,1.8,39,21,6.9,3.7,35,36,5.7,5.9
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
금천구,외식업/,54,38,3.1,2.2,45,40,2.5,2.2,55,60,3.1,3.4,금천구,외식업/,6,7,3.4,3.9,9,4,4.5,2,14,7,6.3,3.2,금천구,외식업/,5,5,5,5,1,2,0.9,1.8,8,3,6.7,2.5,금천구,외식업/,10,2,10.5,2.1,4,2,3.9,2,6,7,5.6,6.5,금천구,외식업/,3,1,3.1,1,1,1,1,1,5,5,4.5,4.5,금천구,외식업/,9,2,7.1,1.6,2,5,1.5,3.8,1,2,0.7,1.5,금천구,외식업/,4,5,2.2,2.8,6,8,3.4,4.5,11,6,6.5,3.6,금천구,외식업/,16,4,5,1.2,13,12,3.8,3.5,17,16,4.7,4.5,금천구,외식업/,5,13,1.8,4.8,6,4,2.6,1.7,6,7,2.6,3,금천구,외식업/,23,18,5,3.9,20,20,4,4,35,35,6.4,6.4
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
영등포구,외식업/,107,81,3.2,2.4,58,68,1.7,2,98,108,3,3.3,영등포구,외식업/,28,23,4.7,3.9,25,23,4.2,3.8,24,23,3.8,3.6,영등포구,외식업/,20,7,6,2.1,10,7,2.9,2,17,8,4.6,2.1,영등포구,외식업/,23,13,7.3,4.1,12,15,3.5,4.4,17,12,4.9,3.4,영등포구,외식업/,18,8,7.2,3.2,10,8,3.9,3.1,9,7,3.5,2.7,영등포구,외식업/,16,13,6.6,5.3,11,10,4.1,3.7,7,10,2.7,3.8,영등포구,외식업/,20,7,7.1,2.5,6,5,2.2,1.9,10,17,4,6.8,영등포구,외식업/,26,20,3.7,2.9,24,19,3.3,2.6,25,26,3.4,3.5,영등포구,외식업/,7,31,1.2,5.4,10,15,1.9,2.8,17,16,3.3,3.1,영등포구,외식업/,62,44,6,4.2,44,30,4,2.7,64,44,5.4,3.7
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
동작구,외식업/,43,35,2.3,1.9,31,28,1.6,1.5,35,69,2,3.9,동작구,외식업/,3,3,1.8,1.8,8,6,4.9,3.7,3,6,1.8,3.7,동작구,외식업/,1,2,0.5,1,6,3,2.8,1.4,10,4,4.5,1.8,동작구,외식업/,4,6,2.8,4.1,3,4,2,2.6,9,8,5.6,4.9,동작구,외식업/,8,5,3.8,2.4,5,8,2.6,4.1,7,10,3.6,5.2,동작구,외식업/,15,4,7.2,1.9,9,8,4.1,3.7,8,9,3.7,4.1,동작구,외식업/,9,9,3.6,3.6,3,10,1.3,4.3,10,15,4.5,6.8,동작구,외식업/,12,10,3,2.5,9,9,2.3,2.3,23,14,5.5,3.4,동작구,외식업/,3,13,1,4.4,7,8,2.7,3.1,8,8,3.2,3.2,동작구,외식업/,29,23,5,4,24,24,4,4,32,32,5.1,5.1
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
관악구,외식업/,122,79,4.6,3,53,79,2,3,80,111,3.2,4.4,관악구,외식업/,13,4,5.8,1.8,6,10,2.7,4.5,17,11,7.4,4.8,관악구,외식업/,17,5,6.6,1.9,11,9,3.8,3.1,13,18,4.6,6.3,관악구,외식업/,25,7,9.5,2.7,8,9,2.8,3.2,19,21,7,7.7,관악구,외식업/,11,8,5.5,4,6,6,2.8,2.8,1,9,0.5,4.4,관악구,외식업/,10,5,4.1,2.1,8,11,3.1,4.3,16,11,6.3,4.3,관악구,외식업/,13,9,4.4,3,6,10,2.2,3.6,15,13,5.8,5,관악구,외식업/,29,21,4.6,3.3,18,16,3,2.7,25,30,4.1,4.9,관악구,외식업/,12,14,2.4,2.8,10,8,2.2,1.7,11,16,2.5,3.7,관악구,외식업/,33,27,4.9,4,39,24,5.3,3.3,45,37,5.6,4.6
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
서초구,외식업/,82,71,2.7,2.4,43,65,1.4,2.2,74,110,2.6,3.9,서초구,외식업/,11,16,4.4,6.4,9,7,3.4,2.7,8,12,3.1,4.7,서초구,외식업/,8,10,2.1,2.6,12,9,3.2,2.4,13,10,3.4,2.6,서초구,외식업/,20,19,3.8,3.7,15,8,2.7,1.5,19,17,3.3,3,서초구,외식업/,14,11,3.9,3,7,9,1.9,2.4,7,15,1.9,4.1,서초구,외식업/,17,3,6,1.1,7,12,2.4,4.1,12,14,4.2,4.9,서초구,외식업/,13,5,5.3,2,4,9,1.7,3.9,5,13,2.4,6.2,서초구,외식업/,26,19,3.1,2.3,27,19,3.3,2.3,20,29,2.4,3.5,서초구,외식업/,5,17,1.3,4.4,2,8,0.6,2.2,4,13,1.2,3.9,서초구,외식업/,36,44,3,3.6,59,44,4.7,3.5,61,61,4.6,4.6
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
강남구,외식업/,256,152,4.9,2.9,116,145,2.2,2.7,181,208,3.5,4,강남구,외식업/,15,13,3.4,2.9,14,8,3,1.7,17,18,3.5,3.8,강남구,외식업/,29,22,3.3,2.5,27,27,2.9,2.9,41,31,4.3,3.2,강남구,외식업/,64,27,4.7,2,39,37,2.7,2.6,55,64,3.7,4.3,강남구,외식업/,27,16,5.3,3.2,14,8,2.7,1.5,14,20,2.6,3.7,강남구,외식업/,39,18,6.9,3.2,14,18,2.3,2.9,16,26,2.7,4.3,강남구,외식업/,17,15,4.6,4,5,17,1.4,4.9,12,16,3.6,4.7,강남구,외식업/,64,39,5.3,3.2,59,49,4.9,4.1,65,61,4.9,4.6,강남구,외식업/,20,37,2.8,5.1,6,26,0.9,3.8,9,16,1.4,2.6,강남구,외식업/,79,69,3.6,3.1,70,60,3,2.6,80,88,3.2,3.6
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
송파구,외식업/,147,87,4.1,2.4,81,100,2.2,2.7,115,140,3.2,3.9,송파구,외식업/,12,8,4.6,3.1,13,9,4.7,3.2,14,9,5,3.2,송파구,외식업/,17,9,3.5,1.9,20,13,3.8,2.5,28,24,5.2,4.5,송파구,외식업/,29,10,6.2,2.2,14,7,2.7,1.3,15,23,2.9,4.4,송파구,외식업/,24,11,6.5,3,10,11,2.7,2.9,16,11,4.2,2.9,송파구,외식업/,33,8,8.3,2,12,13,2.7,3,16,19,3.7,4.4,송파구,외식업/,26,14,6.5,3.5,12,16,3.3,4.4,15,14,4.3,4.1,송파구,외식업/,37,31,4.6,3.8,49,21,5.9,2.5,58,40,6.6,4.6,송파구,외식업/,9,21,1.7,4,5,11,1.1,2.5,12,20,2.8,4.6,송파구,외식업/,49,31,4,2.6,59,52,4.6,4.1,86,65,6,4.5
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
강동구,외식업/,62,60,2.7,2.6,53,54,2.3,2.3,79,82,3.5,3.7,강동구,외식업/,4,7,2.4,4.2,8,7,4.5,3.9,12,10,6.6,5.5,강동구,외식업/,10,5,4.5,2.2,10,5,4,2,2,6,0.8,2.5,강동구,외식업/,8,3,4.1,1.6,6,4,2.8,1.9,7,3,3.2,1.4,강동구,외식업/,11,7,4.6,3,8,7,3.1,2.7,7,14,2.8,5.6,강동구,외식업/,17,5,7.4,2.2,8,11,3.2,4.4,11,12,4.5,4.9,강동구,외식업/,24,13,7.6,4.1,5,16,1.7,5.3,9,15,3.2,5.4,강동구,외식업/,29,13,5.4,2.4,18,9,3.3,1.7,31,32,5.7,5.9,강동구,외식업/,6,17,1.4,4,3,9,0.8,2.4,11,13,3,3.6,강동구,외식업/,30,27,4.5,4.1,44,19,6,2.6,35,36,4.5,4.6
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
