데이터기준년월,시군구명,서비스업종코드,서비스업종,매출등급
202201,강남구,CS100001,한식,2.0
202201,강남구,CS100002,중식,2.0
202201,강남구,CS100003,일식,2.0
202201,강남구,CS100004,기타 외국식,2.0
202201,강남구,CS100005,제과제빵,3.0
202201,강남구,CS100006,패스트푸드,3.0
202201,강남구,CS100007,치킨,2.0
202201,강남구,CS100008,분식,2.0
202201,강남구,CS100009,주점,1.5
202201,강남구,CS100010,커피,3.0
202201,강동구,CS100001,한식,3.0
202201,강동구,CS100002,중식,3.0
202201,강동구,CS100003,일식,3.0
202201,강동구,CS100004,기타 외국식,3.0
202201,강동구,CS100005,제과제빵,3.0
202201,강동구,CS100006,패스트푸드,3.0
202201,강동구,CS100007,치킨,3.0
202201,강동구,CS100008,분식,3.0
202201,강동구,CS100009,주점,3.0
202201,강동구,CS100010,커피,3.0
202201,강북구,CS100001,한식,4.0
202201,강북구,CS100002,중식,3.0
202201,강북구,CS100003,일식,4.0
202201,강북구,CS100004,기타 외국식,4.0
202201,강북구,CS100005,제과제빵,3.0
202201,강북구,CS100006,패스트푸드,3.0
202201,강북구,CS100007,치킨,3.0
202201,강북구,CS100008,분식,4.0
202201,강북구,CS100009,주점,3.0
202201,강북구,CS100010,커피,4.0
202201,강서구,CS100001,한식,3.0
202201,강서구,CS100002,중식,3.0
202201,강서구,CS100003,일식,3.0
202201,강서구,CS100004,기타 외국식,3.0
202201,강서구,CS100005,제과제빵,3.0
202201,강서구,CS100006,패스트푸드,3.0
202201,강서구,CS100007,치킨,3.0
202201,강서구,CS100008,분식,3.0
202201,강서구,CS100009,주점,3.0
202201,강서구,CS100010,커피,3.0
202201,관악구,CS100001,한식,3.0
202201,관악구,CS100002,중식,4.0
202201,관악구,CS100003,일식,3.0
202201,관악구,CS100004,기타 외국식,4.0
202201,관악구,CS100005,제과제빵,3.0
202201,관악구,CS100006,패스트푸드,3.0
202201,관악구,CS100007,치킨,3.0
202201,관악구,CS100008,분식,3.0
202201,관악구,CS100009,주점,3.0
202201,관악구,CS100010,커피,3.0
202201,광진구,CS100001,한식,3.0
202201,광진구,CS100002,중식,3.0
202201,광진구,CS100003,일식,3.0
202201,광진구,CS100004,기타 외국식,4.0
202201,광진구,CS100005,제과제빵,3.0
202201,광진구,CS100006,패스트푸드,3.0
202201,광진구,CS100007,치킨,3.0
202201,광진구,CS100008,분식,3.0
202201,광진구,CS100009,주점,3.0
202201,광진구,CS100010,커피,4.0
202201,구로구,CS100001,한식,3.0
202201,구로구,CS100002,중식,4.0
202201,구로구,CS100003,일식,3.0
202201,구로구,CS100004,기타 외국식,3.0
202201,구로구,CS100005,제과제빵,3.0
202201,구로구,CS100006,패스트푸드,3.0
202201,구로구,CS100007,치킨,3.0
202201,구로구,CS100008,분식,3.0
202201,구로구,CS100009,주점,3.0
202201,구로구,CS100010,커피,3.0
202201,금천구,CS100001,한식,3.0
202201,금천구,CS100002,중식,4.0
202201,금천구,CS100003,일식,3.0
202201,금천구,CS100004,기타 외국식,4.0
202201,금천구,CS100005,제과제빵,3.0
202201,금천구,CS100006,패스트푸드,3.0
202201,금천구,CS100007,치킨,3.0
202201,금천구,CS100008,분식,3.0
202201,금천구,CS100009,주점,3.0
202201,금천구,CS100010,커피,3.0
202201,노원구,CS100001,한식,3.0
202201,노원구,CS100002,중식,3.0
202201,노원구,CS100003,일식,3.0
202201,노원구,CS100004,기타 외국식,4.0
202201,노원구,CS100005,제과제빵,3.0
202201,노원구,CS100006,패스트푸드,3.0
202201,노원구,CS100007,치킨,3.0
202201,노원구,CS100008,분식,3.0
202201,노원구,CS100009,주점,3.0
202201,노원구,CS100010,커피,3.0
202201,도봉구,CS100001,한식,3.0
202201,도봉구,CS100002,중식,3.0
202201,도봉구,CS100003,일식,4.0
202201,도봉구,CS100004,기타 외국식,4.0
202201,도봉구,CS100005,제과제빵,3.0
202201,도봉구,CS100006,패스트푸드,3.0
202201,도봉구,CS100007,치킨,3.0
202201,도봉구,CS100008,분식,4.0
202201,도봉구,CS100009,주점,3.0
202201,도봉구,CS100010,커피,3.0
202201,동대문구,CS100001,한식,3.0
202201,동대문구,CS100002,중식,4.0
202201,동대문구,CS100003,일식,4.0
202201,동대문구,CS100004,기타 외국식,4.0
202201,동대문구,CS100005,제과제빵,3.0
202201,동대문구,CS100006,패스트푸드,3.0
202201,동대문구,CS100007,치킨,3.0
202201,동대문구,CS100008,분식,3.0
202201,동대문구,CS100009,주점,3.0
202201,동대문구,CS100010,커피,3.0
202201,동작구,CS100001,한식,3.0
202201,동작구,CS100002,중식,3.0
202201,동작구,CS100003,일식,3.0
202201,동작구,CS100004,기타 외국식,3.0
202201,동작구,CS100005,제과제빵,3.0
202201,동작구,CS100006,패스트푸드,3.0
202201,동작구,CS100007,치킨,3.0
202201,동작구,CS100008,분식,3.0
202201,동작구,CS100009,주점,3.0
202201,동작구,CS100010,커피,3.0
202201,마포구,CS100001,한식,3.0
202201,마포구,CS100002,중식,3.0
202201,마포구,CS100003,일식,3.0
202201,마포구,CS100004,기타 외국식,3.0
202201,마포구,CS100005,제과제빵,3.0
202201,마포구,CS100006,패스트푸드,3.0
202201,마포구,CS100007,치킨,3.0
202201,마포구,CS100008,분식,3.0
202201,마포구,CS100009,주점,3.0
202201,마포구,CS100010,커피,3.0
202201,서대문구,CS100001,한식,3.0
202201,서대문구,CS100002,중식,3.0
202201,서대문구,CS100003,일식,4.0
202201,서대문구,CS100004,기타 외국식,3.0
202201,서대문구,CS100005,제과제빵,3.0
202201,서대문구,CS100006,패스트푸드,3.0
202201,서대문구,CS100007,치킨,3.0
202201,서대문구,CS100008,분식,3.0
202201,서대문구,CS100009,주점,3.0
202201,서대문구,CS100010,커피,3.0
202201,서초구,CS100001,한식,2.0
202201,서초구,CS100002,중식,2.0
202201,서초구,CS100003,일식,2.0
202201,서초구,CS100004,기타 외국식,3.0
202201,서초구,CS100005,제과제빵,3.0
202201,서초구,CS100006,패스트푸드,3.0
202201,서초구,CS100007,치킨,2.0
202201,서초구,CS100008,분식,3.0
202201,서초구,CS100009,주점,3.0
202201,서초구,CS100010,커피,3.0
202201,성동구,CS100001,한식,3.0
202201,성동구,CS100002,중식,3.0
202201,성동구,CS100003,일식,3.0
202201,성동구,CS100004,기타 외국식,3.0
202201,성동구,CS100005,제과제빵,3.0
202201,성동구,CS100006,패스트푸드,3.0
202201,성동구,CS100007,치킨,3.0
202201,성동구,CS100008,분식,3.0
202201,성동구,CS100009,주점,3.0
202201,성동구,CS100010,커피,3.0
202201,성북구,CS100001,한식,3.0
202201,성북구,CS100002,중식,3.0
202201,성북구,CS100003,일식,4.0
202201,성북구,CS100004,기타 외국식,4.0
202201,성북구,CS100005,제과제빵,3.0
202201,성북구,CS100006,패스트푸드,3.0
202201,성북구,CS100007,치킨,3.0
202201,성북구,CS100008,분식,3.0
202201,성북구,CS100009,주점,3.0
202201,성북구,CS100010,커피,3.0
202201,송파구,CS100001,한식,3.0
202201,송파구,CS100002,중식,3.0
202201,송파구,CS100003,일식,3.0
202201,송파구,CS100004,기타 외국식,3.0
202201,송파구,CS100005,제과제빵,3.0
202201,송파구,CS100006,패스트푸드,3.0
202201,송파구,CS100007,치킨,3.0
202201,송파구,CS100008,분식,3.0
202201,송파구,CS100009,주점,3.0
202201,송파구,CS100010,커피,3.0
202201,양천구,CS100001,한식,3.0
202201,양천구,CS100002,중식,3.0
202201,양천구,CS100003,일식,4.0
202201,양천구,CS100004,기타 외국식,3.0
202201,양천구,CS100005,제과제빵,3.0
202201,양천구,CS100006,패스트푸드,3.0
202201,양천구,CS100007,치킨,3.0
202201,양천구,CS100008,분식,3.0
202201,양천구,CS100009,주점,3.0
202201,양천구,CS100010,커피,3.0
202201,영등포구,CS100001,한식,3.0
202201,영등포구,CS100002,중식,4.0
202201,영등포구,CS100003,일식,3.0
202201,영등포구,CS100004,기타 외국식,3.0
202201,영등포구,CS100005,제과제빵,3.0
202201,영등포구,CS100006,패스트푸드,3.0
202201,영등포구,CS100007,치킨,3.0
202201,영등포구,CS100008,분식,3.0
202201,영등포구,CS100009,주점,3.0
202201,영등포구,CS100010,커피,3.0
202201,용산구,CS100001,한식,3.0
202201,용산구,CS100002,중식,3.0
202201,용산구,CS100003,일식,3.0
202201,용산구,CS100004,기타 외국식,3.0
202201,용산구,CS100005,제과제빵,3.0
202201,용산구,CS100006,패스트푸드,3.0
202201,용산구,CS100007,치킨,3.0
202201,용산구,CS100008,분식,3.0
202201,용산구,CS100009,주점,3.0
202201,용산구,CS100010,커피,3.0
202201,은평구,CS100001,한식,3.0
202201,은평구,CS100002,중식,3.0
202201,은평구,CS100003,일식,4.0
202201,은평구,CS100004,기타 외국식,4.0
202201,은평구,CS100005,제과제빵,3.0
202201,은평구,CS100006,패스트푸드,3.0
202201,은평구,CS100007,치킨,3.0
202201,은평구,CS100008,분식,3.0
202201,은평구,CS100009,주점,3.0
202201,은평구,CS100010,커피,3.0
202201,종로구,CS100001,한식,3.0
202201,종로구,CS100002,중식,3.0
202201,종로구,CS100003,일식,3.0
202201,종로구,CS100004,기타 외국식,3.0
202201,종로구,CS100005,제과제빵,3.0
202201,종로구,CS100006,패스트푸드,3.0
202201,종로구,CS100007,치킨,3.0
202201,종로구,CS100008,분식,3.0
202201,종로구,CS100009,주점,3.0
202201,종로구,CS100010,커피,3.0
202201,중구,CS100001,한식,3.0
202201,중구,CS100002,중식,3.0
202201,중구,CS100003,일식,3.0
202201,중구,CS100004,기타 외국식,3.0
202201,중구,CS100005,제과제빵,3.0
202201,중구,CS100006,패스트푸드,3.0
202201,중구,CS100007,치킨,3.0
202201,중구,CS100008,분식,3.0
202201,중구,CS100009,주점,4.0
202201,중구,CS100010,커피,3.0
202201,중랑구,CS100001,한식,4.0
202201,중랑구,CS100002,중식,3.0
202201,중랑구,CS100003,일식,4.0
202201,중랑구,CS100004,기타 외국식,4.0
202201,중랑구,CS100005,제과제빵,3.5
202201,중랑구,CS100006,패스트푸드,4.0
202201,중랑구,CS100007,치킨,3.0
202201,중랑구,CS100008,분식,4.0
202201,중랑구,CS100009,주점,3.5
202201,중랑구,CS100010,커피,3.0
202202,강남구,CS100001,한식,2.0
202202,강남구,CS100002,중식,2.0
202202,강남구,CS100003,일식,2.0
202202,강남구,CS100004,기타 외국식,2.0
202202,강남구,CS100005,제과제빵,2.0
202202,강남구,CS100006,패스트푸드,3.0
202202,강남구,CS100007,치킨,2.0
202202,강남구,CS100008,분식,2.0
202202,강남구,CS100009,주점,1.0
202202,강남구,CS100010,커피,3.0
202202,강동구,CS100001,한식,3.0
202202,강동구,CS100002,중식,3.0
202202,강동구,CS100003,일식,4.0
202202,강동구,CS100004,기타 외국식,3.0
202202,강동구,CS100005,제과제빵,3.0
202202,강동구,CS100006,패스트푸드,3.0
202202,강동구,CS100007,치킨,3.0
202202,강동구,CS100008,분식,3.0
202202,강동구,CS100009,주점,3.0
202202,강동구,CS100010,커피,3.0
202202,강북구,CS100001,한식,4.0
202202,강북구,CS100002,중식,4.0
202202,강북구,CS100003,일식,3.0
202202,강북구,CS100004,기타 외국식,4.0
202202,강북구,CS100005,제과제빵,3.0
202202,강북구,CS100006,패스트푸드,3.0
202202,강북구,CS100007,치킨,3.0
202202,강북구,CS100008,분식,4.0
202202,강북구,CS100009,주점,3.0
202202,강북구,CS100010,커피,4.0
202202,강서구,CS100001,한식,3.0
202202,강서구,CS100002,중식,3.0
202202,강서구,CS100003,일식,3.0
202202,강서구,CS100004,기타 외국식,4.0
202202,강서구,CS100005,제과제빵,3.0
202202,강서구,CS100006,패스트푸드,3.0
202202,강서구,CS100007,치킨,3.0
202202,강서구,CS100008,분식,3.0
202202,강서구,CS100009,주점,3.0
202202,강서구,CS100010,커피,3.0
202202,관악구,CS100001,한식,3.0
202202,관악구,CS100002,중식,3.0
202202,관악구,CS100003,일식,3.0
202202,관악구,CS100004,기타 외국식,4.0
202202,관악구,CS100005,제과제빵,3.0
202202,관악구,CS100006,패스트푸드,3.0
202202,관악구,CS100007,치킨,3.0
202202,관악구,CS100008,분식,3.0
202202,관악구,CS100009,주점,3.0
202202,관악구,CS100010,커피,3.0
202202,광진구,CS100001,한식,3.0
202202,광진구,CS100002,중식,3.0
202202,광진구,CS100003,일식,3.0
202202,광진구,CS100004,기타 외국식,4.0
202202,광진구,CS100005,제과제빵,3.0
202202,광진구,CS100006,패스트푸드,3.0
202202,광진구,CS100007,치킨,3.0
202202,광진구,CS100008,분식,3.0
202202,광진구,CS100009,주점,3.0
202202,광진구,CS100010,커피,3.0
202202,구로구,CS100001,한식,3.0
202202,구로구,CS100002,중식,4.0
202202,구로구,CS100003,일식,3.0
202202,구로구,CS100004,기타 외국식,3.0
202202,구로구,CS100005,제과제빵,3.0
202202,구로구,CS100006,패스트푸드,3.0
202202,구로구,CS100007,치킨,3.0
202202,구로구,CS100008,분식,3.0
202202,구로구,CS100009,주점,4.0
202202,구로구,CS100010,커피,3.0
202202,금천구,CS100001,한식,3.0
202202,금천구,CS100002,중식,4.0
202202,금천구,CS100003,일식,3.0
202202,금천구,CS100004,기타 외국식,4.0
202202,금천구,CS100005,제과제빵,3.0
202202,금천구,CS100006,패스트푸드,3.0
202202,금천구,CS100007,치킨,3.0
202202,금천구,CS100008,분식,3.0
202202,금천구,CS100009,주점,4.0
202202,금천구,CS100010,커피,3.0
202202,노원구,CS100001,한식,3.0
202202,노원구,CS100002,중식,3.0
202202,노원구,CS100003,일식,3.0
202202,노원구,CS100004,기타 외국식,3.5
202202,노원구,CS100005,제과제빵,3.0
202202,노원구,CS100006,패스트푸드,3.0
202202,노원구,CS100007,치킨,3.0
202202,노원구,CS100008,분식,3.0
202202,노원구,CS100009,주점,4.0
202202,노원구,CS100010,커피,3.0
202202,도봉구,CS100001,한식,3.0
202202,도봉구,CS100002,중식,3.0
202202,도봉구,CS100003,일식,4.0
202202,도봉구,CS100004,기타 외국식,4.0
202202,도봉구,CS100005,제과제빵,3.0
202202,도봉구,CS100006,패스트푸드,3.0
202202,도봉구,CS100007,치킨,3.0
202202,도봉구,CS100008,분식,4.0
202202,도봉구,CS100009,주점,3.0
202202,도봉구,CS100010,커피,3.0
202202,동대문구,CS100001,한식,3.0
202202,동대문구,CS100002,중식,4.0
202202,동대문구,CS100003,일식,4.0
202202,동대문구,CS100004,기타 외국식,4.0
202202,동대문구,CS100005,제과제빵,3.0
202202,동대문구,CS100006,패스트푸드,3.0
202202,동대문구,CS100007,치킨,4.0
202202,동대문구,CS100008,분식,3.0
202202,동대문구,CS100009,주점,3.0
202202,동대문구,CS100010,커피,3.0
202202,동작구,CS100001,한식,3.0
202202,동작구,CS100002,중식,3.0
202202,동작구,CS100003,일식,3.0
202202,동작구,CS100004,기타 외국식,3.0
202202,동작구,CS100005,제과제빵,3.0
202202,동작구,CS100006,패스트푸드,3.0
202202,동작구,CS100007,치킨,3.0
202202,동작구,CS100008,분식,3.0
202202,동작구,CS100009,주점,3.0
202202,동작구,CS100010,커피,3.0
202202,마포구,CS100001,한식,3.0
202202,마포구,CS100002,중식,3.0
202202,마포구,CS100003,일식,3.0
202202,마포구,CS100004,기타 외국식,3.0
202202,마포구,CS100005,제과제빵,3.0
202202,마포구,CS100006,패스트푸드,3.0
202202,마포구,CS100007,치킨,3.0
202202,마포구,CS100008,분식,3.0
202202,마포구,CS100009,주점,3.0
202202,마포구,CS100010,커피,3.0
202202,서대문구,CS100001,한식,3.0
202202,서대문구,CS100002,중식,3.0
202202,서대문구,CS100003,일식,4.0
202202,서대문구,CS100004,기타 외국식,3.0
202202,서대문구,CS100005,제과제빵,3.0
202202,서대문구,CS100006,패스트푸드,3.0
202202,서대문구,CS100007,치킨,3.0
202202,서대문구,CS100008,분식,3.0
202202,서대문구,CS100009,주점,3.0
202202,서대문구,CS100010,커피,3.0
202202,서초구,CS100001,한식,2.0
202202,서초구,CS100002,중식,2.0
202202,서초구,CS100003,일식,3.0
202202,서초구,CS100004,기타 외국식,3.0
202202,서초구,CS100005,제과제빵,3.0
202202,서초구,CS100006,패스트푸드,3.0
202202,서초구,CS100007,치킨,2.0
202202,서초구,CS100008,분식,2.5
202202,서초구,CS100009,주점,3.0
202202,서초구,CS100010,커피,3.0
202202,성동구,CS100001,한식,3.0
202202,성동구,CS100002,중식,3.0
202202,성동구,CS100003,일식,3.0
202202,성동구,CS100004,기타 외국식,3.0
202202,성동구,CS100005,제과제빵,3.0
202202,성동구,CS100006,패스트푸드,3.0
202202,성동구,CS100007,치킨,3.0
202202,성동구,CS100008,분식,3.0
202202,성동구,CS100009,주점,3.0
202202,성동구,CS100010,커피,3.0
202202,성북구,CS100001,한식,3.0
202202,성북구,CS100002,중식,3.0
202202,성북구,CS100003,일식,4.0
202202,성북구,CS100004,기타 외국식,4.0
202202,성북구,CS100005,제과제빵,3.0
202202,성북구,CS100006,패스트푸드,3.0
202202,성북구,CS100007,치킨,3.0
202202,성북구,CS100008,분식,3.0
202202,성북구,CS100009,주점,4.0
202202,성북구,CS100010,커피,3.0
202202,송파구,CS100001,한식,3.0
202202,송파구,CS100002,중식,3.0
202202,송파구,CS100003,일식,3.0
202202,송파구,CS100004,기타 외국식,3.0
202202,송파구,CS100005,제과제빵,3.0
202202,송파구,CS100006,패스트푸드,3.0
202202,송파구,CS100007,치킨,3.0
202202,송파구,CS100008,분식,3.0
202202,송파구,CS100009,주점,3.0
202202,송파구,CS100010,커피,3.0
202202,양천구,CS100001,한식,3.0
202202,양천구,CS100002,중식,3.0
202202,양천구,CS100003,일식,4.0
202202,양천구,CS100004,기타 외국식,3.0
202202,양천구,CS100005,제과제빵,3.0
202202,양천구,CS100006,패스트푸드,3.0
202202,양천구,CS100007,치킨,3.0
202202,양천구,CS100008,분식,3.0
202202,양천구,CS100009,주점,3.0
202202,양천구,CS100010,커피,3.0
202202,영등포구,CS100001,한식,3.0
202202,영등포구,CS100002,중식,4.0
202202,영등포구,CS100003,일식,3.0
202202,영등포구,CS100004,기타 외국식,3.0
202202,영등포구,CS100005,제과제빵,3.0
202202,영등포구,CS100006,패스트푸드,3.0
202202,영등포구,CS100007,치킨,3.0
202202,영등포구,CS100008,분식,3.0
202202,영등포구,CS100009,주점,3.0
202202,영등포구,CS100010,커피,3.0
202202,용산구,CS100001,한식,3.0
202202,용산구,CS100002,중식,2.5
202202,용산구,CS100003,일식,3.0
202202,용산구,CS100004,기타 외국식,3.0
202202,용산구,CS100005,제과제빵,3.0
202202,용산구,CS100006,패스트푸드,3.0
202202,용산구,CS100007,치킨,2.0
202202,용산구,CS100008,분식,3.0
202202,용산구,CS100009,주점,3.0
202202,용산구,CS100010,커피,3.0
202202,은평구,CS100001,한식,3.0
202202,은평구,CS100002,중식,3.0
202202,은평구,CS100003,일식,4.0
202202,은평구,CS100004,기타 외국식,4.0
202202,은평구,CS100005,제과제빵,3.0
202202,은평구,CS100006,패스트푸드,3.0
202202,은평구,CS100007,치킨,3.0
202202,은평구,CS100008,분식,3.0
202202,은평구,CS100009,주점,3.0
202202,은평구,CS100010,커피,3.0
202202,종로구,CS100001,한식,3.0
202202,종로구,CS100002,중식,3.0
202202,종로구,CS100003,일식,3.0
202202,종로구,CS100004,기타 외국식,3.0
202202,종로구,CS100005,제과제빵,3.0
202202,종로구,CS100006,패스트푸드,2.0
202202,종로구,CS100007,치킨,3.0
202202,종로구,CS100008,분식,3.0
202202,종로구,CS100009,주점,3.0
202202,종로구,CS100010,커피,3.0
202202,중구,CS100001,한식,3.0
202202,중구,CS100002,중식,3.0
202202,중구,CS100003,일식,3.0
202202,중구,CS100004,기타 외국식,3.0
202202,중구,CS100005,제과제빵,3.0
202202,중구,CS100006,패스트푸드,3.0
202202,중구,CS100007,치킨,3.0
202202,중구,CS100008,분식,3.0
202202,중구,CS100009,주점,3.0
202202,중구,CS100010,커피,3.0
202202,중랑구,CS100001,한식,4.0
202202,중랑구,CS100002,중식,3.0
202202,중랑구,CS100003,일식,4.0
202202,중랑구,CS100004,기타 외국식,4.0
202202,중랑구,CS100005,제과제빵,4.0
202202,중랑구,CS100006,패스트푸드,4.0
202202,중랑구,CS100007,치킨,3.0
202202,중랑구,CS100008,분식,4.0
202202,중랑구,CS100009,주점,3.0
202202,중랑구,CS100010,커피,3.0
202203,강남구,CS100001,한식,2.0
202203,강남구,CS100002,중식,2.0
202203,강남구,CS100003,일식,2.0
202203,강남구,CS100004,기타 외국식,2.0
202203,강남구,CS100005,제과제빵,3.0
202203,강남구,CS100006,패스트푸드,3.0
202203,강남구,CS100007,치킨,2.0
202203,강남구,CS100008,분식,2.0
202203,강남구,CS100009,주점,2.0
202203,강남구,CS100010,커피,2.0
202203,강동구,CS100001,한식,3.0
202203,강동구,CS100002,중식,3.0
202203,강동구,CS100003,일식,3.0
202203,강동구,CS100004,기타 외국식,3.0
202203,강동구,CS100005,제과제빵,3.0
202203,강동구,CS100006,패스트푸드,3.0
202203,강동구,CS100007,치킨,3.0
202203,강동구,CS100008,분식,3.0
202203,강동구,CS100009,주점,3.0
202203,강동구,CS100010,커피,3.0
202203,강북구,CS100001,한식,4.0
202203,강북구,CS100002,중식,4.0
202203,강북구,CS100003,일식,4.0
202203,강북구,CS100004,기타 외국식,4.0
202203,강북구,CS100005,제과제빵,3.0
202203,강북구,CS100006,패스트푸드,3.0
202203,강북구,CS100007,치킨,3.0
202203,강북구,CS100008,분식,4.0
202203,강북구,CS100009,주점,3.0
202203,강북구,CS100010,커피,4.0
202203,강서구,CS100001,한식,3.0
202203,강서구,CS100002,중식,3.0
202203,강서구,CS100003,일식,3.0
202203,강서구,CS100004,기타 외국식,4.0
202203,강서구,CS100005,제과제빵,3.0
202203,강서구,CS100006,패스트푸드,3.0
202203,강서구,CS100007,치킨,3.0
202203,강서구,CS100008,분식,3.0
202203,강서구,CS100009,주점,3.0
202203,강서구,CS100010,커피,3.0
202203,관악구,CS100001,한식,3.0
202203,관악구,CS100002,중식,3.0
202203,관악구,CS100003,일식,3.0
202203,관악구,CS100004,기타 외국식,4.0
202203,관악구,CS100005,제과제빵,3.0
202203,관악구,CS100006,패스트푸드,3.0
202203,관악구,CS100007,치킨,3.0
202203,관악구,CS100008,분식,3.0
202203,관악구,CS100009,주점,3.0
202203,관악구,CS100010,커피,3.0
202203,광진구,CS100001,한식,3.0
202203,광진구,CS100002,중식,3.0
202203,광진구,CS100003,일식,3.0
202203,광진구,CS100004,기타 외국식,3.5
202203,광진구,CS100005,제과제빵,3.0
202203,광진구,CS100006,패스트푸드,3.0
202203,광진구,CS100007,치킨,3.0
202203,광진구,CS100008,분식,3.0
202203,광진구,CS100009,주점,3.0
202203,광진구,CS100010,커피,3.0
202203,구로구,CS100001,한식,3.0
202203,구로구,CS100002,중식,4.0
202203,구로구,CS100003,일식,3.0
202203,구로구,CS100004,기타 외국식,3.0
202203,구로구,CS100005,제과제빵,3.0
202203,구로구,CS100006,패스트푸드,3.0
202203,구로구,CS100007,치킨,3.0
202203,구로구,CS100008,분식,3.0
202203,구로구,CS100009,주점,3.0
202203,구로구,CS100010,커피,3.0
202203,금천구,CS100001,한식,3.0
202203,금천구,CS100002,중식,4.0
202203,금천구,CS100003,일식,3.0
202203,금천구,CS100004,기타 외국식,4.0
202203,금천구,CS100005,제과제빵,3.0
202203,금천구,CS100006,패스트푸드,3.0
202203,금천구,CS100007,치킨,3.0
202203,금천구,CS100008,분식,3.0
202203,금천구,CS100009,주점,3.0
202203,금천구,CS100010,커피,3.0
202203,노원구,CS100001,한식,3.0
202203,노원구,CS100002,중식,3.0
202203,노원구,CS100003,일식,3.0
202203,노원구,CS100004,기타 외국식,3.0
202203,노원구,CS100005,제과제빵,3.0
202203,노원구,CS100006,패스트푸드,3.0
202203,노원구,CS100007,치킨,3.0
202203,노원구,CS100008,분식,3.0
202203,노원구,CS100009,주점,3.0
202203,노원구,CS100010,커피,3.0
202203,도봉구,CS100001,한식,3.0
202203,도봉구,CS100002,중식,3.0
202203,도봉구,CS100003,일식,4.0
202203,도봉구,CS100004,기타 외국식,4.0
202203,도봉구,CS100005,제과제빵,3.0
202203,도봉구,CS100006,패스트푸드,3.0
202203,도봉구,CS100007,치킨,3.0
202203,도봉구,CS100008,분식,4.0
202203,도봉구,CS100009,주점,3.0
