분기,시군구명,서비스업종,최근10년영업기간,최근30년영업기간
1,종로구,한식,3.1년,5.6년
1,중구,한식,3.1년,5.8년
1,용산구,한식,3.1년,5.2년
1,성동구,한식,2.9년,4.9년
1,광진구,한식,2.8년,4.7년
1,동대문구,한식,2.8년,4.7년
1,중랑구,한식,2.7년,4.5년
1,성북구,한식,2.9년,4.9년
1,강북구,한식,2.6년,4.5년
1,도봉구,한식,2.7년,4.7년
1,노원구,한식,2.8년,4.8년
1,은평구,한식,2.6년,4.6년
1,서대문구,한식,2.9년,5.2년
1,마포구,한식,2.7년,4.6년
1,양천구,한식,2.7년,4.5년
1,강서구,한식,2.5년,4.3년
1,구로구,한식,2.8년,4.9년
1,금천구,한식,2.6년,4.7년
1,영등포구,한식,2.8년,4.8년
1,동작구,한식,3년,5.3년
1,관악구,한식,2.6년,4.5년
1,서초구,한식,2.9년,4.9년
1,강남구,한식,2.7년,4.6년
1,송파구,한식,2.7년,4.5년
1,강동구,한식,2.6년,4.4년
2,종로구,한식,3.1년,5.6년
2,중구,한식,3.1년,5.8년
2,용산구,한식,3.1년,5.2년
2,성동구,한식,2.9년,5년
2,광진구,한식,2.8년,4.7년
2,동대문구,한식,2.8년,4.7년
2,중랑구,한식,2.7년,4.5년
2,성북구,한식,2.9년,4.9년
2,강북구,한식,2.6년,4.5년
2,도봉구,한식,2.7년,4.7년
2,노원구,한식,2.8년,4.8년
2,은평구,한식,2.6년,4.6년
2,서대문구,한식,2.9년,5.2년
2,마포구,한식,2.7년,4.6년
2,양천구,한식,2.7년,4.5년
2,강서구,한식,2.5년,4.3년
2,구로구,한식,2.8년,4.9년
2,금천구,한식,2.6년,4.7년
2,영등포구,한식,2.8년,4.9년
2,동작구,한식,3년,5.3년
2,관악구,한식,2.6년,4.5년
2,서초구,한식,2.9년,4.9년
2,강남구,한식,2.7년,4.6년
2,송파구,한식,2.7년,4.6년
2,강동구,한식,2.7년,4.4년
3,종로구,한식,3.1년,5.6년
3,중구,한식,3.1년,5.8년
3,용산구,한식,3.1년,5.2년
3,성동구,한식,2.9년,5년
3,광진구,한식,2.8년,4.7년
3,동대문구,한식,2.8년,4.8년
3,중랑구,한식,2.7년,4.5년
3,성북구,한식,2.9년,5년
3,강북구,한식,2.6년,4.5년
3,도봉구,한식,2.8년,4.8년
3,노원구,한식,2.9년,4.8년
3,은평구,한식,2.7년,4.6년
3,서대문구,한식,3년,5.2년
3,마포구,한식,2.8년,4.6년
3,양천구,한식,2.8년,4.6년
3,강서구,한식,2.6년,4.3년
3,구로구,한식,2.8년,4.9년
3,금천구,한식,2.7년,4.7년
3,영등포구,한식,2.9년,4.9년
3,동작구,한식,3년,5.3년
3,관악구,한식,2.6년,4.5년
3,서초구,한식,2.9년,4.9년
3,강남구,한식,2.7년,4.7년
3,송파구,한식,2.7년,4.6년
3,강동구,한식,2.7년,4.5년
4,종로구,한식,3.2년,5.7년
4,중구,한식,3.2년,5.8년
4,용산구,한식,3.1년,5.2년
4,성동구,한식,2.9년,5년
4,광진구,한식,2.8년,4.7년
4,동대문구,한식,2.8년,4.8년
4,중랑구,한식,2.7년,4.5년
4,성북구,한식,2.9년,5년
4,강북구,한식,2.7년,4.5년
4,도봉구,한식,2.8년,4.8년
4,노원구,한식,2.9년,4.8년
4,은평구,한식,2.7년,4.6년
4,서대문구,한식,3년,5.3년
4,마포구,한식,2.8년,4.6년
4,양천구,한식,2.8년,4.6년
4,강서구,한식,2.6년,4.3년
4,구로구,한식,2.9년,4.9년
4,금천구,한식,2.8년,4.7년
4,영등포구,한식,2.9년,4.9년
4,동작구,한식,3.1년,5.3년
4,관악구,한식,2.6년,4.5년
4,서초구,한식,2.9년,5년
4,강남구,한식,2.8년,4.7년
4,송파구,한식,2.7년,4.6년
4,강동구,한식,2.7년,4.5년
1,종로구,중식,2.8년,5.3년
1,중구,중식,3.1년,5.1년
1,용산구,중식,3.1년,5.6년
1,성동구,중식,2.7년,4.5년
1,광진구,중식,2.9년,4.2년
1,동대문구,중식,2.6년,4.4년
1,중랑구,중식,2.3년,4.1년
1,성북구,중식,2.9년,5.1년
1,강북구,중식,2.3년,4.2년
1,도봉구,중식,2.8년,4.7년
1,노원구,중식,2.7년,4.7년
1,은평구,중식,2.5년,4.5년
1,서대문구,중식,2.8년,4.3년
1,마포구,중식,2.7년,4.4년
1,양천구,중식,2.8년,4.8년
1,강서구,중식,2.5년,4.1년
1,구로구,중식,2.5년,3.7년
1,금천구,중식,2.3년,3.5년
1,영등포구,중식,2.5년,3.6년
1,동작구,중식,3.1년,4.4년
1,관악구,중식,2.5년,4.2년
1,서초구,중식,2.8년,5년
1,강남구,중식,2.7년,4.7년
1,송파구,중식,2.6년,4.2년
1,강동구,중식,2.5년,4.4년
2,종로구,중식,2.8년,5.2년
2,중구,중식,3.2년,5.1년
2,용산구,중식,3.1년,5.6년
2,성동구,중식,2.8년,4.5년
2,광진구,중식,2.9년,4.2년
2,동대문구,중식,2.6년,4.4년
2,중랑구,중식,2.3년,4년
2,성북구,중식,2.9년,5.1년
2,강북구,중식,2.3년,4.2년
2,도봉구,중식,2.8년,4.7년
2,노원구,중식,2.8년,4.7년
2,은평구,중식,2.5년,4.5년
2,서대문구,중식,2.8년,4.3년
2,마포구,중식,2.7년,4.4년
2,양천구,중식,2.6년,4.7년
2,강서구,중식,2.4년,4.1년
2,구로구,중식,2.5년,3.7년
2,금천구,중식,2.3년,3.5년
2,영등포구,중식,2.6년,3.6년
2,동작구,중식,3.1년,4.4년
2,관악구,중식,2.5년,4.2년
2,서초구,중식,2.8년,5년
2,강남구,중식,2.7년,4.7년
2,송파구,중식,2.6년,4.2년
2,강동구,중식,2.5년,4.5년
3,종로구,중식,2.9년,5.3년
3,중구,중식,3.2년,5.1년
3,용산구,중식,3.2년,5.7년
3,성동구,중식,2.8년,4.5년
3,광진구,중식,2.9년,4.2년
3,동대문구,중식,2.5년,4.4년
3,중랑구,중식,2.2년,4년
3,성북구,중식,2.9년,5.1년
3,강북구,중식,2.3년,4.2년
3,도봉구,중식,2.8년,4.8년
3,노원구,중식,2.8년,4.7년
3,은평구,중식,2.5년,4.5년
3,서대문구,중식,2.8년,4.3년
3,마포구,중식,2.7년,4.3년
3,양천구,중식,2.6년,4.7년
3,강서구,중식,2.4년,4.1년
3,구로구,중식,2.5년,3.7년
3,금천구,중식,2.3년,3.5년
3,영등포구,중식,2.6년,3.7년
3,동작구,중식,3.1년,4.4년
3,관악구,중식,2.6년,4.2년
3,서초구,중식,2.9년,5년
3,강남구,중식,2.7년,4.7년
3,송파구,중식,2.7년,4.2년
3,강동구,중식,2.5년,4.4년
4,종로구,중식,2.9년,5.3년
4,중구,중식,3.1년,5.2년
4,용산구,중식,3.3년,5.7년
4,성동구,중식,2.8년,4.6년
4,광진구,중식,2.9년,4.2년
4,동대문구,중식,2.5년,4.4년
4,중랑구,중식,2.2년,4년
4,성북구,중식,2.9년,5.1년
4,강북구,중식,2.3년,4.1년
4,도봉구,중식,2.8년,4.7년
4,노원구,중식,2.7년,4.7년
4,은평구,중식,2.5년,4.5년
4,서대문구,중식,2.9년,4.4년
4,마포구,중식,2.6년,4.3년
4,양천구,중식,2.6년,4.7년
4,강서구,중식,2.4년,4년
4,구로구,중식,2.5년,3.7년
4,금천구,중식,2.3년,3.5년
4,영등포구,중식,2.6년,3.7년
4,동작구,중식,3.1년,4.4년
4,관악구,중식,2.6년,4.2년
4,서초구,중식,2.8년,5년
4,강남구,중식,2.7년,4.7년
4,송파구,중식,2.6년,4.2년
4,강동구,중식,2.5년,4.4년
1,종로구,일식,2.9년,4.8년
1,중구,일식,2.9년,5년
1,용산구,일식,2.8년,4.3년
1,성동구,일식,2.6년,3.8년
1,광진구,일식,2.7년,4.2년
1,동대문구,일식,2.6년,4.1년
1,중랑구,일식,2.7년,3.8년
1,성북구,일식,2.6년,4년
1,강북구,일식,2.4년,3.8년
1,도봉구,일식,2.5년,3.8년
1,노원구,일식,2.6년,3.8년
1,은평구,일식,2.5년,3.7년
1,서대문구,일식,3년,4.2년
1,마포구,일식,2.7년,3.7년
1,양천구,일식,2.5년,4년
1,강서구,일식,2.5년,3.7년
1,구로구,일식,2.8년,4.7년
1,금천구,일식,2.6년,3.9년
1,영등포구,일식,2.9년,4.6년
1,동작구,일식,2.9년,5년
1,관악구,일식,2.4년,3.6년
1,서초구,일식,3년,4.7년
1,강남구,일식,2.8년,4.2년
1,송파구,일식,2.8년,4.5년
1,강동구,일식,2.4년,4.1년
2,종로구,일식,3년,4.8년
2,중구,일식,2.9년,5년
2,용산구,일식,2.9년,4.3년
2,성동구,일식,2.6년,3.9년
2,광진구,일식,2.7년,4.2년
2,동대문구,일식,2.6년,4.1년
2,중랑구,일식,2.7년,3.8년
2,성북구,일식,2.6년,4년
2,강북구,일식,2.3년,3.8년
2,도봉구,일식,2.5년,3.8년
2,노원구,일식,2.7년,3.8년
2,은평구,일식,2.4년,3.7년
2,서대문구,일식,2.9년,4.2년
2,마포구,일식,2.7년,3.7년
2,양천구,일식,2.5년,4년
2,강서구,일식,2.5년,3.7년
2,구로구,일식,2.8년,4.7년
2,금천구,일식,2.7년,4년
2,영등포구,일식,2.8년,4.6년
2,동작구,일식,2.9년,5년
2,관악구,일식,2.4년,3.6년
2,서초구,일식,3.1년,4.7년
2,강남구,일식,2.9년,4.2년
2,송파구,일식,2.8년,4.5년
2,강동구,일식,2.4년,4.1년
3,종로구,일식,2.9년,4.8년
3,중구,일식,2.9년,5년
3,용산구,일식,2.9년,4.4년
3,성동구,일식,2.6년,3.8년
3,광진구,일식,2.8년,4.3년
3,동대문구,일식,2.6년,4.1년
3,중랑구,일식,2.7년,3.8년
3,성북구,일식,2.6년,4년
3,강북구,일식,2.4년,3.8년
3,도봉구,일식,2.5년,3.8년
3,노원구,일식,2.6년,3.8년
3,은평구,일식,2.5년,3.8년
3,서대문구,일식,3년,4.3년
3,마포구,일식,2.7년,3.7년
3,양천구,일식,2.5년,4년
3,강서구,일식,2.5년,3.7년
3,구로구,일식,2.8년,4.7년
3,금천구,일식,2.6년,3.9년
3,영등포구,일식,2.8년,4.6년
3,동작구,일식,2.9년,5.1년
3,관악구,일식,2.4년,3.6년
3,서초구,일식,3.1년,4.8년
3,강남구,일식,2.9년,4.2년
3,송파구,일식,2.8년,4.5년
3,강동구,일식,2.4년,4.1년
4,종로구,일식,2.9년,4.8년
4,중구,일식,2.9년,5년
4,용산구,일식,2.8년,4.4년
4,성동구,일식,2.6년,3.8년
4,광진구,일식,2.8년,4.3년
4,동대문구,일식,2.6년,4.1년
4,중랑구,일식,2.8년,3.8년
4,성북구,일식,2.6년,4년
4,강북구,일식,2.5년,3.9년
4,도봉구,일식,2.5년,3.8년
4,노원구,일식,2.7년,3.8년
4,은평구,일식,2.5년,3.8년
4,서대문구,일식,3년,4.3년
4,마포구,일식,2.7년,3.7년
4,양천구,일식,2.6년,4년
4,강서구,일식,2.5년,3.7년
4,구로구,일식,2.7년,4.7년
4,금천구,일식,2.6년,4년
4,영등포구,일식,2.8년,4.6년
4,동작구,일식,2.9년,5.1년
4,관악구,일식,2.5년,3.7년
4,서초구,일식,3.1년,4.8년
4,강남구,일식,2.9년,4.2년
4,송파구,일식,2.8년,4.5년
4,강동구,일식,2.5년,4.1년
1,종로구,기타 외국식,3년,4.5년
1,중구,기타 외국식,3년,4.6년
1,용산구,기타 외국식,2.9년,4년
1,성동구,기타 외국식,2.3년,3.3년
1,광진구,기타 외국식,2.5년,3.9년
1,동대문구,기타 외국식,2.7년,3.9년
1,중랑구,기타 외국식,2.5년,3.6년
1,성북구,기타 외국식,2.7년,3.9년
1,강북구,기타 외국식,2.2년,3.3년
1,도봉구,기타 외국식,2.7년,4년
1,노원구,기타 외국식,2.7년,3.9년
1,은평구,기타 외국식,2.3년,3.4년
1,서대문구,기타 외국식,2.6년,4.1년
1,마포구,기타 외국식,2.7년,3.6년
1,양천구,기타 외국식,2.3년,3.9년
1,강서구,기타 외국식,2.4년,3.3년
1,구로구,기타 외국식,2.7년,3.7년
1,금천구,기타 외국식,2.5년,3.8년
1,영등포구,기타 외국식,2.6년,3.8년
1,동작구,기타 외국식,2.8년,3.8년
1,관악구,기타 외국식,2.4년,3.8년
1,서초구,기타 외국식,3년,3.8년
1,강남구,기타 외국식,2.6년,3.7년
1,송파구,기타 외국식,2.7년,3.7년
1,강동구,기타 외국식,2.4년,3.5년
2,종로구,기타 외국식,3.1년,4.6년
2,중구,기타 외국식,3년,4.6년
2,용산구,기타 외국식,2.9년,4년
2,성동구,기타 외국식,2.3년,3.3년
2,광진구,기타 외국식,2.6년,4년
2,동대문구,기타 외국식,2.7년,3.9년
2,중랑구,기타 외국식,2.5년,3.6년
2,성북구,기타 외국식,2.7년,3.9년
2,강북구,기타 외국식,2.2년,3.3년
2,도봉구,기타 외국식,2.7년,4년
2,노원구,기타 외국식,2.7년,4년
2,은평구,기타 외국식,2.3년,3.4년
2,서대문구,기타 외국식,2.6년,4.1년
2,마포구,기타 외국식,2.7년,3.7년
2,양천구,기타 외국식,2.3년,3.9년
2,강서구,기타 외국식,2.3년,3.3년
2,구로구,기타 외국식,2.6년,3.7년
2,금천구,기타 외국식,2.6년,3.8년
2,영등포구,기타 외국식,2.7년,3.8년
2,동작구,기타 외국식,2.8년,3.8년
2,관악구,기타 외국식,2.5년,3.8년
2,서초구,기타 외국식,3년,3.8년
2,강남구,기타 외국식,2.6년,3.7년
2,송파구,기타 외국식,2.6년,3.7년
2,강동구,기타 외국식,2.5년,3.5년
3,종로구,기타 외국식,3.1년,4.6년
3,중구,기타 외국식,3년,4.6년
3,용산구,기타 외국식,2.9년,4년
3,성동구,기타 외국식,2.4년,3.4년
3,광진구,기타 외국식,2.6년,4년
3,동대문구,기타 외국식,2.8년,3.9년
3,중랑구,기타 외국식,2.5년,3.6년
3,성북구,기타 외국식,2.8년,3.9년
3,강북구,기타 외국식,2.3년,3.3년
3,도봉구,기타 외국식,2.8년,4.1년
3,노원구,기타 외국식,2.7년,4년
3,은평구,기타 외국식,2.3년,3.4년
3,서대문구,기타 외국식,2.7년,4.1년
3,마포구,기타 외국식,2.8년,3.7년
3,양천구,기타 외국식,2.4년,3.9년
3,강서구,기타 외국식,2.4년,3.3년
3,구로구,기타 외국식,2.7년,3.7년
3,금천구,기타 외국식,2.5년,3.7년
3,영등포구,기타 외국식,2.7년,3.8년
3,동작구,기타 외국식,2.8년,3.8년
3,관악구,기타 외국식,2.5년,3.9년
3,서초구,기타 외국식,3년,3.8년
3,강남구,기타 외국식,2.6년,3.7년
3,송파구,기타 외국식,2.7년,3.7년
3,강동구,기타 외국식,2.5년,3.5년
4,종로구,기타 외국식,3.1년,4.6년
4,중구,기타 외국식,3년,4.6년
4,용산구,기타 외국식,2.9년,4년
4,성동구,기타 외국식,2.4년,3.4년
4,광진구,기타 외국식,2.6년,4년
4,동대문구,기타 외국식,2.8년,4년
4,중랑구,기타 외국식,2.5년,3.6년
4,성북구,기타 외국식,2.8년,3.9년
4,강북구,기타 외국식,2.4년,3.3년
4,도봉구,기타 외국식,2.8년,4.1년
4,노원구,기타 외국식,2.8년,4년
4,은평구,기타 외국식,2.3년,3.4년
4,서대문구,기타 외국식,2.7년,4.1년
4,마포구,기타 외국식,2.8년,3.7년
4,양천구,기타 외국식,2.4년,3.9년
4,강서구,기타 외국식,2.4년,3.3년
4,구로구,기타 외국식,2.8년,3.7년
4,금천구,기타 외국식,2.6년,3.8년
4,영등포구,기타 외국식,2.7년,3.8년
4,동작구,기타 외국식,2.7년,3.8년
4,관악구,기타 외국식,2.5년,3.9년
4,서초구,기타 외국식,3년,3.8년
4,강남구,기타 외국식,2.6년,3.7년
4,송파구,기타 외국식,2.7년,3.7년
4,강동구,기타 외국식,2.5년,3.5년
1,종로구,제과제빵,2.9년,4.7년
1,중구,제과제빵,3년,5년
1,용산구,제과제빵,3년,4.7년
1,성동구,제과제빵,2.6년,4.1년
1,광진구,제과제빵,2.7년,4.6년
1,동대문구,제과제빵,2.6년,5년
1,중랑구,제과제빵,2.4년,4.4년
1,성북구,제과제빵,2.9년,5.1년
1,강북구,제과제빵,2.6년,4.6년
1,도봉구,제과제빵,2.4년,4.9년
1,노원구,제과제빵,2.8년,4.9년
1,은평구,제과제빵,2.8년,4.6년
1,서대문구,제과제빵,2.9년,4.7년
1,마포구,제과제빵,2.8년,4.1년
1,양천구,제과제빵,2.8년,4.7년
1,강서구,제과제빵,2.6년,4.2년
1,구로구,제과제빵,2.7년,4.6년
1,금천구,제과제빵,2.9년,5.1년
1,영등포구,제과제빵,3년,4.5년
1,동작구,제과제빵,3년,4.9년
1,관악구,제과제빵,2.7년,4.6년
1,서초구,제과제빵,3년,4.8년
1,강남구,제과제빵,2.9년,4.4년
1,송파구,제과제빵,2.6년,4.5년
1,강동구,제과제빵,2.7년,4.3년
2,종로구,제과제빵,3년,4.7년
2,중구,제과제빵,3.1년,5.1년
2,용산구,제과제빵,3년,4.7년
2,성동구,제과제빵,2.6년,4.1년
2,광진구,제과제빵,2.7년,4.6년
2,동대문구,제과제빵,2.5년,5년
2,중랑구,제과제빵,2.4년,4.4년
2,성북구,제과제빵,2.9년,5.1년
2,강북구,제과제빵,2.6년,4.6년
2,도봉구,제과제빵,2.4년,4.9년
2,노원구,제과제빵,2.9년,4.9년
2,은평구,제과제빵,2.8년,4.6년
2,서대문구,제과제빵,2.9년,4.7년
2,마포구,제과제빵,2.8년,4.1년
2,양천구,제과제빵,2.8년,4.7년
2,강서구,제과제빵,2.6년,4.2년
2,구로구,제과제빵,2.7년,4.6년
2,금천구,제과제빵,2.9년,5.1년
2,영등포구,제과제빵,3년,4.5년
2,동작구,제과제빵,3.1년,4.9년
2,관악구,제과제빵,2.6년,4.6년
2,서초구,제과제빵,3.1년,4.8년
2,강남구,제과제빵,3년,4.4년
2,송파구,제과제빵,2.7년,4.5년
2,강동구,제과제빵,2.7년,4.3년
3,종로구,제과제빵,3년,4.7년
3,중구,제과제빵,3.1년,5.1년
3,용산구,제과제빵,2.9년,4.7년
3,성동구,제과제빵,2.7년,4.1년
3,광진구,제과제빵,2.7년,4.6년
3,동대문구,제과제빵,2.5년,5년
3,중랑구,제과제빵,2.5년,4.4년
3,성북구,제과제빵,2.8년,5.1년
3,강북구,제과제빵,2.7년,4.6년
3,도봉구,제과제빵,2.4년,4.9년
3,노원구,제과제빵,2.9년,4.9년
3,은평구,제과제빵,2.8년,4.6년
3,서대문구,제과제빵,2.8년,4.6년
3,마포구,제과제빵,2.8년,4.1년
3,양천구,제과제빵,2.8년,4.7년
3,강서구,제과제빵,2.7년,4.2년
3,구로구,제과제빵,2.8년,4.6년
3,금천구,제과제빵,2.8년,5.1년
3,영등포구,제과제빵,3년,4.5년
3,동작구,제과제빵,3년,4.9년
3,관악구,제과제빵,2.6년,4.6년
3,서초구,제과제빵,3.1년,4.8년
3,강남구,제과제빵,3년,4.4년
3,송파구,제과제빵,2.7년,4.5년
3,강동구,제과제빵,2.7년,4.3년
4,종로구,제과제빵,2.9년,4.7년
4,중구,제과제빵,3.1년,5.1년
4,용산구,제과제빵,2.9년,4.7년
4,성동구,제과제빵,2.7년,4.1년
4,광진구,제과제빵,2.7년,4.7년
4,동대문구,제과제빵,2.5년,5년
4,중랑구,제과제빵,2.5년,4.4년
4,성북구,제과제빵,2.9년,5.1년
4,강북구,제과제빵,2.7년,4.7년
4,도봉구,제과제빵,2.4년,4.9년
4,노원구,제과제빵,3년,5년
4,은평구,제과제빵,2.9년,4.7년
4,서대문구,제과제빵,2.8년,4.7년
4,마포구,제과제빵,2.8년,4.1년
4,양천구,제과제빵,2.9년,4.7년
4,강서구,제과제빵,2.7년,4.3년
