분기,시군구명,서비스업종,최근10년기준,최근30년기준
1,종로구,한식,3.2년,5.7년
1,중구,한식,3.2년,5.8년
1,용산구,한식,3.1년,5.3년
1,성동구,한식,3년,5년
1,광진구,한식,2.8년,4.7년
1,동대문구,한식,2.9년,4.8년
1,중랑구,한식,2.8년,4.6년
1,성북구,한식,3년,5년
1,강북구,한식,2.7년,4.5년
1,도봉구,한식,2.8년,4.8년
1,노원구,한식,2.9년,4.8년
1,은평구,한식,2.7년,4.6년
1,서대문구,한식,3년,5.3년
1,마포구,한식,2.8년,4.7년
1,양천구,한식,2.8년,4.6년
1,강서구,한식,2.6년,4.3년
1,구로구,한식,2.9년,4.9년
1,금천구,한식,2.8년,4.8년
1,영등포구,한식,2.9년,4.9년
1,동작구,한식,3.1년,5.3년
1,관악구,한식,2.6년,4.5년
1,서초구,한식,3년,5년
1,강남구,한식,2.8년,4.7년
1,송파구,한식,2.8년,4.6년
1,강동구,한식,2.7년,4.5년
1,종로구,중식,3년,5.3년
1,중구,중식,3.2년,5.2년
1,용산구,중식,3.2년,5.7년
1,성동구,중식,2.8년,4.6년
1,광진구,중식,2.9년,4.2년
1,동대문구,중식,2.6년,4.4년
1,중랑구,중식,2.3년,4년
1,성북구,중식,2.9년,5.1년
1,강북구,중식,2.3년,4.1년
1,도봉구,중식,2.8년,4.7년
1,노원구,중식,2.7년,4.7년
1,은평구,중식,2.5년,4.5년
1,서대문구,중식,2.9년,4.4년
1,마포구,중식,2.7년,4.3년
1,양천구,중식,2.6년,4.6년
1,강서구,중식,2.5년,4.1년
1,구로구,중식,2.6년,3.7년
1,금천구,중식,2.3년,3.5년
1,영등포구,중식,2.6년,3.7년
1,동작구,중식,3.1년,4.4년
1,관악구,중식,2.6년,4.2년
1,서초구,중식,2.9년,5년
1,강남구,중식,2.8년,4.7년
1,송파구,중식,2.6년,4.2년
1,강동구,중식,2.5년,4.4년
1,종로구,일식,2.9년,4.8년
1,중구,일식,2.9년,5년
1,용산구,일식,2.9년,4.4년
1,성동구,일식,2.6년,3.8년
1,광진구,일식,2.7년,4.2년
1,동대문구,일식,2.6년,4.1년
1,중랑구,일식,2.8년,3.8년
1,성북구,일식,2.7년,4.1년
1,강북구,일식,2.5년,3.9년
1,도봉구,일식,2.4년,3.8년
1,노원구,일식,2.7년,3.8년
1,은평구,일식,2.5년,3.8년
1,서대문구,일식,2.9년,4.3년
1,마포구,일식,2.7년,3.7년
1,양천구,일식,2.6년,4년
1,강서구,일식,2.5년,3.7년
1,구로구,일식,2.7년,4.7년
1,금천구,일식,2.5년,4년
1,영등포구,일식,2.8년,4.6년
1,동작구,일식,2.9년,5.1년
1,관악구,일식,2.5년,3.7년
1,서초구,일식,3.1년,4.8년
1,강남구,일식,3년,4.2년
1,송파구,일식,2.8년,4.5년
1,강동구,일식,2.5년,4.2년
1,종로구,기타 외국식,3.1년,4.6년
1,중구,기타 외국식,3.1년,4.7년
1,용산구,기타 외국식,3년,4.1년
1,성동구,기타 외국식,2.4년,3.4년
1,광진구,기타 외국식,2.7년,4년
1,동대문구,기타 외국식,2.8년,4년
1,중랑구,기타 외국식,2.4년,3.6년
1,성북구,기타 외국식,2.9년,4년
1,강북구,기타 외국식,2.4년,3.3년
1,도봉구,기타 외국식,2.8년,4.1년
1,노원구,기타 외국식,2.8년,4년
1,은평구,기타 외국식,2.4년,3.4년
1,서대문구,기타 외국식,2.7년,4.1년
1,마포구,기타 외국식,2.8년,3.7년
1,양천구,기타 외국식,2.5년,3.9년
1,강서구,기타 외국식,2.4년,3.4년
1,구로구,기타 외국식,2.8년,3.8년
1,금천구,기타 외국식,2.6년,3.8년
1,영등포구,기타 외국식,2.7년,3.8년
1,동작구,기타 외국식,2.7년,3.8년
1,관악구,기타 외국식,2.5년,3.9년
1,서초구,기타 외국식,3년,3.9년
1,강남구,기타 외국식,2.7년,3.7년
1,송파구,기타 외국식,2.8년,3.7년
1,강동구,기타 외국식,2.5년,3.6년
1,종로구,제과제빵,3년,4.8년
1,중구,제과제빵,3.1년,5.2년
1,용산구,제과제빵,2.9년,4.7년
1,성동구,제과제빵,2.7년,4.1년
1,광진구,제과제빵,2.7년,4.7년
1,동대문구,제과제빵,2.6년,5년
1,중랑구,제과제빵,2.6년,4.5년
1,성북구,제과제빵,2.9년,5.1년
1,강북구,제과제빵,2.7년,4.7년
1,도봉구,제과제빵,2.5년,4.9년
1,노원구,제과제빵,3년,5년
1,은평구,제과제빵,2.9년,4.6년
1,서대문구,제과제빵,2.9년,4.7년
1,마포구,제과제빵,2.8년,4.1년
1,양천구,제과제빵,2.9년,4.7년
1,강서구,제과제빵,2.8년,4.3년
1,구로구,제과제빵,2.8년,4.7년
1,금천구,제과제빵,2.6년,5.1년
1,영등포구,제과제빵,3.1년,4.6년
1,동작구,제과제빵,3년,4.9년
1,관악구,제과제빵,2.7년,4.7년
1,서초구,제과제빵,3.2년,4.9년
1,강남구,제과제빵,3.1년,4.5년
1,송파구,제과제빵,2.8년,4.5년
1,강동구,제과제빵,2.7년,4.4년
1,종로구,패스트푸드,3.5년,5년
1,중구,패스트푸드,3.1년,4.8년
1,용산구,패스트푸드,3.1년,4.8년
1,성동구,패스트푸드,2.8년,3.9년
1,광진구,패스트푸드,2.7년,4.6년
1,동대문구,패스트푸드,3년,4.5년
1,중랑구,패스트푸드,2.8년,4.2년
1,성북구,패스트푸드,3.1년,4.8년
1,강북구,패스트푸드,2.8년,4.4년
1,도봉구,패스트푸드,3년,4.5년
1,노원구,패스트푸드,2.9년,4.8년
1,은평구,패스트푸드,2.8년,4.3년
1,서대문구,패스트푸드,3년,4.8년
1,마포구,패스트푸드,2.8년,4.2년
1,양천구,패스트푸드,2.5년,4.2년
1,강서구,패스트푸드,2.6년,4.2년
1,구로구,패스트푸드,2.8년,4.5년
1,금천구,패스트푸드,2.8년,4.1년
1,영등포구,패스트푸드,2.9년,4.5년
1,동작구,패스트푸드,2.9년,4.5년
1,관악구,패스트푸드,2.6년,4.1년
1,서초구,패스트푸드,3년,4.6년
1,강남구,패스트푸드,2.9년,4.5년
1,송파구,패스트푸드,2.7년,4.2년
1,강동구,패스트푸드,2.7년,4.2년
1,종로구,치킨,2.7년,5.5년
1,중구,치킨,3년,5.9년
1,용산구,치킨,2.6년,5년
1,성동구,치킨,2.7년,4.7년
1,광진구,치킨,2.6년,4.4년
1,동대문구,치킨,2.6년,4.2년
1,중랑구,치킨,2.3년,4년
1,성북구,치킨,2.7년,4.5년
1,강북구,치킨,2.5년,4.2년
1,도봉구,치킨,2.6년,4.2년
1,노원구,치킨,2.5년,4.2년
1,은평구,치킨,2.3년,4.1년
1,서대문구,치킨,2.5년,4.6년
1,마포구,치킨,2.7년,4.5년
1,양천구,치킨,2.4년,4.3년
1,강서구,치킨,2.5년,4.1년
1,구로구,치킨,2.6년,4.4년
1,금천구,치킨,2.6년,4.6년
1,영등포구,치킨,2.6년,4.8년
1,동작구,치킨,2.7년,4.4년
1,관악구,치킨,2.5년,4년
1,서초구,치킨,2.8년,4.8년
1,강남구,치킨,2.7년,4.7년
1,송파구,치킨,2.5년,4.4년
1,강동구,치킨,2.4년,4.2년
1,종로구,분식,2.6년,4.5년
1,중구,분식,2.7년,4.4년
1,용산구,분식,2.5년,4년
1,성동구,분식,2.4년,3.9년
1,광진구,분식,2.3년,3.9년
1,동대문구,분식,2.5년,4년
1,중랑구,분식,2.4년,3.8년
1,성북구,분식,2.6년,3.9년
1,강북구,분식,2.4년,3.6년
1,도봉구,분식,2.3년,3.8년
1,노원구,분식,2.6년,4년
1,은평구,분식,2.4년,3.7년
1,서대문구,분식,2.4년,4년
1,마포구,분식,2.2년,3.5년
1,양천구,분식,2.4년,3.9년
1,강서구,분식,2.3년,3.6년
1,구로구,분식,2.5년,3.9년
1,금천구,분식,2.5년,3.7년
1,영등포구,분식,2.5년,3.8년
1,동작구,분식,2.4년,3.9년
1,관악구,분식,2.3년,3.8년
1,서초구,분식,2.7년,4.1년
1,강남구,분식,2.2년,3.6년
1,송파구,분식,2.3년,3.6년
1,강동구,분식,2.5년,3.5년
1,종로구,주점,3.3년,5.2년
1,중구,주점,3.1년,5.1년
1,용산구,주점,3.1년,4.9년
1,성동구,주점,2.9년,4.5년
1,광진구,주점,2.9년,4.3년
1,동대문구,주점,2.6년,4.6년
1,중랑구,주점,2.4년,4년
1,성북구,주점,2.9년,4.5년
1,강북구,주점,2.5년,4년
1,도봉구,주점,2.7년,4.2년
1,노원구,주점,2.9년,4.4년
1,은평구,주점,2.7년,4.4년
1,서대문구,주점,2.9년,4.6년
1,마포구,주점,3년,4.6년
1,양천구,주점,2.7년,4.2년
1,강서구,주점,2.8년,4.4년
1,구로구,주점,2.5년,4년
1,금천구,주점,2.6년,4.1년
1,영등포구,주점,2.6년,4.3년
1,동작구,주점,3년,4.7년
1,관악구,주점,2.6년,4.2년
1,서초구,주점,3년,5년
1,강남구,주점,2.8년,4.4년
1,송파구,주점,2.8년,4.4년
1,강동구,주점,2.6년,4.3년
1,종로구,커피,3년,4.2년
1,중구,커피,2.8년,4.2년
1,용산구,커피,2.8년,3.6년
1,성동구,커피,2.7년,3.4년
1,광진구,커피,2.6년,3.5년
1,동대문구,커피,2.6년,3.4년
1,중랑구,커피,2.4년,3.1년
1,성북구,커피,2.7년,3.5년
1,강북구,커피,2.5년,3.1년
1,도봉구,커피,2.6년,3.5년
1,노원구,커피,2.7년,3.5년
1,은평구,커피,2.5년,3.2년
1,서대문구,커피,2.6년,3.5년
1,마포구,커피,2.5년,3.3년
1,양천구,커피,2.6년,3.3년
1,강서구,커피,2.5년,3년
1,구로구,커피,2.6년,3.4년
1,금천구,커피,2.5년,3.2년
1,영등포구,커피,2.8년,3.7년
1,동작구,커피,2.6년,3.5년
1,관악구,커피,2.5년,3.3년
1,서초구,커피,2.8년,3.7년
1,강남구,커피,2.8년,3.8년
1,송파구,커피,2.6년,3.3년
1,강동구,커피,2.6년,3.3년
